vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;531;176322;2.45;43.3;129.86;265.22;610.66
0;532;128777;0;5.57;21.73;61.59;193.1
0;540;1979119;38.34;61.07;81.71;112.06;222.9
0;541;49752;13.8;39.7;61.45;92.93;177.61
0;542;39016;3.05;14.21;33.28;81.77;429.43
0;543;34336;11.37;31.3;51.17;94.09;330.42
0;544;161253;7.81;20.97;33.57;53.89;111.94
0;560;2214497;0.69;7.8;15.79;32;70.65
0;561;54542;0;2.83;23.85;75.08;258.82
0;562;134524;18.84;53.29;73.5;105.53;193.36
0;563;341323;0;3.94;21.21;51.74;182.04
0;564;49779;0.02;8.52;24.63;53.63;160.79
0;565;13903;0;0;0;8.76;65.27
0;566;385462;0;0.96;14.61;42.04;156.56
0;580;15136;0;3.71;21.23;59.13;483.72
0;581;876;0;10.28;29.49;46.49;352.97
0;582;26061;26061.15;26061.15;26061.15;26061.15;26061.15
0;583;9047;1935.43;1935.43;4523.36;7111.29;7111.29
0;590;27151;69.9;1608.07;2115.09;2503.35;4083.45
0;591;64446;212.03;539.87;1324.66;1858.09;3410.16
0;592;43738;575.02;1464.62;2079.69;2514.34;3829.27
0;593;107860;107.59;249.26;634.91;1339.01;2366.07
0;600;43555;547.64;740.01;1322.06;2390.13;4532.26
0;601;73227;3.42;138.4;654.43;1345.19;2322.42
0;602;123225;83.67;203.38;598.8;1157.87;2363.04
0;603;48917;0;74.3;146.27;273.54;858.25
0;610;25472;132.22;756.18;1539.71;2048.65;4045.4
0;611;32687;0;54.49;142.68;592.02;2145.59
0;612;126195;2.48;105.87;267.62;1028.42;2851.91
0;613;12037;4.76;60.69;107.96;241.22;585.22
0;614;29428;0;3.87;48.07;100.5;282.27
0;620;13284;260.22;375.31;480.91;963.3;2110.32
0;621;35183;0;9.52;88.04;554.08;1551.15
0;622;91228;0;39.64;134;1158.52;2060.3
0;623;7609;0.72;21.27;65.08;138.64;432.16
0;624;6296;0;0;0;14.3;186.7
0;625;9224;0;3.12;21.24;81.39;329.85
0;626;6268;0;0;3.62;23.7;123.15
0;630;96503;157.27;491.78;858.47;1709.46;2974.36
0;631;53686;33.88;144.41;357.01;766.36;2860.7
0;632;28568;8.43;26.7;39.64;77.45;453.07
0;633;72198;0;2.98;32.45;140.11;1026.47
0;634;113168;0;14.85;80.09;438.71;2343.41
0;635;22389;0;9.73;31.66;210.82;2159.83
