vrai_hop;rdrg;SI;N;moy_gemid
0;310;2;4038;570.94
0;310;3;474;463.03
0;310;4;53;995.13
0;311;1;74;1.2
0;311;2;6;4.73
0;311;3;3;0
0;312;1;429;36.34
0;312;2;265;80.22
0;312;3;116;152.48
0;312;4;29;147.37
0;313;1;24187;39.32
0;313;2;3346;106.8
0;313;3;534;228.89
0;313;4;56;257.4
0;314;1;8367;27.39
0;314;2;1286;42.72
0;314;3;130;52.34
0;314;4;8;73.46
0;315;1;15685;25.03
0;315;2;4766;81.78
0;315;3;362;120.31
0;315;4;55;179.37
0;316;1;6046;17.72
0;316;2;534;61.34
0;316;3;64;203.62
0;316;4;9;368.02
0;317;1;6953;3.7
0;317;2;595;11.65
0;317;3;96;58.91
0;317;4;10;22.72
0;318;1;5273;3.96
0;318;2;502;23.68
0;318;3;56;17.98
0;318;4;11;24.74
0;319;1;4015;11.8
0;319;2;441;13.79
0;319;3;58;109.23
0;319;4;6;36.84
0;320;1;5278;81.53
0;320;2;864;555.56
0;320;3;178;405.09
0;320;4;49;330.88
0;340;1;552;3.5
0;340;2;437;7.53
0;340;3;150;17.82
0;340;4;43;13.37
0;341;1;1069;0.23
0;341;2;1027;0.65
0;341;3;555;3.27
0;341;4;54;8.12
0;342;1;8264;0.26
0;342;2;1784;1.06
0;342;3;474;2.34
0;342;4;85;10.69
0;343;1;1432;3.14
0;343;2;2369;7.42
0;343;3;1450;16.69
0;343;4;193;22.26
0;344;1;163;4.32
0;344;2;233;2.81
0;344;3;61;0.69
0;344;4;13;23.3
0;345;1;136;0
0;345;2;154;0.7
0;345;3;37;0
0;345;4;11;19.6
0;346;1;1871;0.98
0;346;2;1049;0.97
0;346;3;321;5.62
0;346;4;66;10.95
0;347;1;18267;0.71
0;347;2;4812;0.8
0;347;3;725;1.01
0;347;4;94;10.74
0;348;1;2278;3.04
0;348;2;2337;0.94
0;348;3;667;11.68
0;348;4;61;40.52
0;349;1;871;1.7
0;349;2;546;1.34
0;349;3;90;5.62
0;349;4;13;1.96
0;350;1;1975;0.19
0;350;2;871;0.53
0;350;3;189;1.71
0;350;4;21;19.82
0;351;1;2598;1.1
0;351;2;986;0.8
0;351;3;254;0.77
0;351;4;46;16.94
0;360;1;336;2.44
0;360;2;445;69.53
0;360;3;177;58.04
0;360;4;68;135.06
0;361;1;2922;14.11
0;361;2;536;20.82
0;361;3;112;103.18
0;361;4;28;265.43
0;362;1;3341;21.66
0;362;2;1702;33.98
0;362;3;119;52.04
0;362;4;10;103.91
0;363;1;8196;13.81
0;363;2;3512;21.36
0;363;3;87;48.63
0;363;4;7;51.54
0;364;1;6128;7.09
0;364;2;1130;64.29
0;364;3;242;124.44
0;364;4;59;204.39
0;380;1;237;0.01
0;380;2;752;1.13
0;380;3;570;4.62
0;380;4;158;5.73
0;381;1;815;0
0;381;2;713;0.55
0;381;3;192;1.9
0;381;4;26;4.37
0;382;1;308;5.53
0;382;2;803;5.19
0;382;3;498;7.92
0;382;4;61;17.21
0;383;1;4289;0.11
0;383;2;1931;0.43
0;383;3;639;1.35
0;383;4;123;6.44
0;384;1;4475;0.01
0;384;2;1381;0.14
0;384;3;440;1.58
0;384;4;56;7.72
0;385;1;2321;0.3
0;385;2;950;0.59
0;385;3;214;6.9
0;385;4;22;24.13
0;400;1;64;13.43
0;400;2;10;0
0;400;3;48;92.35
0;400;4;10;608.04
0;401;1;158;11.62
0;401;2;105;42.01
0;401;3;35;77.08
0;401;4;14;103.73
0;402;1;52;93.56
0;402;2;66;15.65
0;402;3;32;71.24
0;402;4;9;110.05
0;403;1;4441;51.69
0;403;2;609;77.35
0;403;3;93;53.85
0;403;4;24;88.08
0;404;1;4242;1.85
0;404;2;1185;8.67
0;404;3;101;33.83
0;404;4;15;59.1
0;405;1;618;97.15
0;405;2;244;163.25
0;405;3;168;280.22
0;405;4;70;232.75
0;420;1;5158;1.81
0;420;2;2578;0.62
