vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;342;4;81;55;74;84;89;96
0;343;1;61;13;53;66;72;86
0;343;2;67;24;59;72;80;89
0;343;3;69;39;61;71;81;89
0;343;4;71;49;62;74;83;90
0;344;1;38;0;5;44;63;80
0;344;2;45;1;9;56;71;86
0;344;3;68;33;58;71;82;90
0;344;4;69;37;60;71;80;92
0;346;1;44;2;12;50;69;83
0;346;2;61;10;49;66;78;87
0;346;3;65;20;55;71;81;90
0;346;4;65;12;58;70;79;87
0;347;1;58;24;44;58;74;88
0;347;2;75;41;68;80;86;92
0;347;3;79;51;75;83;88;93
0;347;4;81;61;76;83;88;94
0;349;1;69;45;60;70;79;90
0;349;2;71;40;62;73;83;92
0;349;3;79;57;71;81;88;94
0;349;4;78;50;70;80;87;95
0;351;1;52;5;35;55;72;88
0;351;2;70;19;61;78;86;93
0;351;3;78;46;73;83;88;94
0;351;4;80;51;74;83;89;94
0;361;1;53;19;38;54;70;87
0;361;2;67;29;55;70;82;91
0;361;3;73;42;64;77;86;93
0;361;4;70;47;60;72;82;89
0;362;1;60;36;49;60;71;85
0;362;2;60;32;49;61;73;86
0;362;3;69;48;57;70;84;90
0;362;4;69;34;65;72;81;83
0;363;1;53;22;44;54;65;79
0;363;2;57;33;48;56;67;81
0;363;3;55;36;47;54;64;82
0;363;4;67;58;60;63;74;85
0;364;1;45;18;34;45;57;76
0;364;2;59;22;43;61;76;89
0;364;3;70;38;58;73;84;92
0;364;4;71;39;64;73;80;90
0;380;1;67;35;56;69;82;90
0;380;2;72;45;63;74;84;92
0;380;3;76;46;68;80;86;94
0;380;4;77;53;69;79;85;94
0;381;1;42;0;6;49;69;84
0;381;2;61;2;52;71;81;90
0;381;3;70;44;58;72;83;92
0;381;4;69;41;62;72;78;87
0;382;1;65;38;51;64;81;91
0;382;2;68;39;57;70;80;89
0;382;3;70;47;60;71;81;90
0;382;4;70;48;63;72;78;91
0;383;1;38;2;17;39;58;80
0;383;2;62;9;52;67;79;90
0;383;3;73;44;65;77;86;93
0;383;4;75;50;66;76;86;94
0;384;1;44;0;13;45;73;90
0;384;2;73;18;67;82;88;94
0;384;3;82;57;79;86;90;95
0;384;4;81;55;79;85;89;95
0;385;1;40;0;21;42;59;82
0;385;2;58;2;46;64;77;89
0;385;3;69;27;60;73;83;92
0;385;4;69;20;61;71;87;94
0;401;1;54;23;45;57;66;79
0;401;2;55;25;42;56;68;79
0;401;3;54;6;45;62;69;77
0;401;4;64;41;48;62;77;92
0;403;1;41;21;31;41;51;62
0;403;2;44;21;33;45;54;65
0;403;3;48;24;39;50;58;70
0;403;4;50;33;41;50;56;68
0;404;1;52;28;42;53;63;76
0;404;2;58;30;48;59;70;80
0;404;3;65;36;55;67;77;87
0;404;4;63;26;54;66;71;89
0;405;1;48;14;37;48;62;81
0;405;2;59;23;46;62;74;89
0;405;3;69;40;60;71;83;90
0;405;4;69;42;60;70;79;90
0;420;1;53;12;40;56;70;84
0;420;2;52;10;25;56;76;88
0;420;3;69;29;59;73;83;90
0;420;4;71;36;62;75;82;90
0;421;1;24;0;0;20;44;67
0;421;2;51;0;14;61;80;90
0;421;3;64;1;57;71;82;91
0;421;4;68;26;60;71;81;90
0;422;1;11;0;1;3;8;65
0;422;2;54;0;5;73;85;93
0;422;3;75;19;70;81;88;94
0;422;4;74;43;66;79;88;95
0;423;1;33;1;10;32;52;76
0;423;2;36;1;6;32;60;80
0;423;3;48;1;26;48;78;83
0;423;4;38;0;8;44;63;90
0;424;1;46;2;28;50;65;82
0;424;2;63;10;51;68;80;89
0;424;3;66;6;56;72;83;90
