vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;530;4;68;68;86768.34;50;250.69;733.45;1569.9;3746.28
0;531;1;598;587;52352.48;6.12;29.88;66.04;111.7;220.4
0;531;2;189;186;40617.3;8.44;45.27;104.25;191.36;503.08
0;531;3;43;43;20010.26;81.72;141.32;262.8;506.05;1524.77
0;531;4;6;6;8828.62;214.2;232.49;379.78;2945.63;4676.74
0;532;1;1391;1282;42475.13;2.2;10.16;23.92;41.88;89.56
0;532;2;510;498;32058.83;3.4;18.76;38.73;62.99;193.4
0;532;3;56;54;11360.7;6.24;30.7;85.19;204.64;901.36
0;532;4;4;4;3262.39;271.32;476.58;802.29;1154.61;1386.48
0;540;1;14887;14880;999634.34;28.24;41.92;54.72;73.4;130.16
0;540;2;7418;7412;775536.35;32.16;48.43;66.12;95.42;256.68
0;540;3;1983;1982;473711.21;37.88;63.98;97.58;214.2;872.4
0;540;4;77;77;121460.96;94.84;264.76;554;1105.03;5522.9
0;541;1;856;852;38957.76;7.6;16.44;27.15;48.18;172.84
0;541;2;1400;1399;103356.08;9.96;21.16;37.04;72.08;227.6
0;541;3;296;296;68611.16;13.96;39.13;80.38;201.72;968.36
0;541;4;7;7;7958.24;144.92;323.84;414.48;2891.24;3082.84
0;542;1;452;446;14591.84;1.76;8.72;18;36.36;108.32
0;542;2;862;858;42651.87;1.96;11.6;24.54;50.96;191.44
0;542;3;132;132;35099.39;12.52;30.4;76.9;198.91;979.04
0;542;4;5;5;5738.81;353.28;459.15;507;694.84;3724.54
0;544;1;1084;1069;42544.01;4.88;15.04;25.6;41.6;130.92
0;544;2;420;415;28941.36;7.8;20.8;40.84;82.56;211.8
0;544;3;40;40;17093.11;15.12;43.18;73.52;158.02;2385.05
0;544;4;4;4;32039.25;385.96;2673.81;8009.99;13345.81;15633.31
0;545;1;954;952;57185.39;18.88;31.39;43.05;61.92;203.4
0;545;2;289;289;23409.61;21.52;39.76;58.11;85.96;224.8
0;545;3;33;33;5912.28;50.76;96.72;152.62;227.83;362.08
0;545;4;2;2;16269;7966.55;7966.55;8134.5;8302.45;8302.45
0;546;1;358;349;27297.39;3.76;10.8;21.48;46.28;443.87
0;546;2;139;136;47530.31;7.2;19.4;58.68;222.86;1123.84
0;546;3;49;49;23290.92;14.32;44.64;204.2;595.32;1519.52
0;546;4;5;5;5276.67;340.14;636.87;905.4;1601.22;1793.04
0;560;1;57479;56739;1188594.02;0.72;7.04;13.24;25.8;55.16
0;560;2;26454;26251;1004307.01;2.64;10;19.4;37.36;109.66
0;560;3;3389;3380;344683.09;6.86;19;36.06;70.37;421.64
0;560;4;32;32;24663.48;28.4;70.54;154;526.35;6723.13
0;561;1;899;778;27523.01;0.16;3.36;15.95;44.84;149.92
0;561;2;743;693;51413.8;1.64;18.8;45.6;85.64;230.16
0;561;3;112;101;14138.51;1.16;37.76;73.64;151.88;513.32
0;561;4;16;16;4444.83;70.96;94.66;186.98;403.52;879.56
0;563;1;2472;2214;684608.12;0.4;4.84;18.46;625.2;924.68
0;563;2;1271;1189;492343.82;0.76;8.04;104.08;643.64;1285.08
0;563;3;139;136;54405.95;2.88;11.06;205.16;659.44;1299.2
0;563;4;1;1;2652;2652;2652;2652;2652;2652
0;564;1;623;580;11998.92;1.04;4.02;9.98;20.06;70.24
0;564;2;203;195;7991.17;2.28;8.24;16.96;55.72;157.36
0;564;3;11;11;1087.8;6.32;9.36;64.8;183.12;386.12
0;565;1;1123;601;115693.71;0.2;3.16;11.24;67.88;736.2
0;565;2;247;165;49318.5;0.48;5.72;17.76;617.36;1091.2
0;565;3;15;13;22038.25;4.84;11.12;19.8;570.43;19934.31
0;566;1;6126;5000;200322.88;1.04;7.26;16.04;32.34;111.76
0;566;2;4644;4037;392836.13;0.76;6.48;18.08;47.84;633.36
0;566;3;941;872;221159.51;1.8;11.42;41.3;433.84;852.36
0;566;4;11;11;20449.32;50.4;158.76;204.04;2518.84;9672.36
0;580;1;25;15;345.45;1.28;5.2;14.65;21.52;111.48
0;580;2;26;23;3564.84;3.28;10.88;21.16;58.28;1245.76
0;580;3;15;14;2513.14;1.48;22.88;55.88;118.38;869.15
0;580;4;4;4;6780.44;31.44;103.98;718.42;3286.24;5312.16
0;581;1;18;15;1031.49;1.48;3.28;5.4;20.36;843.58
0;581;2;10;9;295.2;1.48;4.8;6.28;12.76;230.36
0;581;3;9;9;1245.6;16.08;29.6;79.96;93.08;662
0;581;4;10;10;9561.55;58.56;225.92;941;1170.66;2175.2
0;583;3;3;3;15453.87;2546.26;2546.26;4825.04;8082.57;8082.57
0;583;4;10;10;24985.54;558.99;1176.7;2100.17;3012.2;7076.72
0;588;2;2;2;2430.04;984.2;984.2;1215.02;1445.84;1445.84
0;588;3;19;19;28991.17;191.8;750.61;1352.49;1811.4;3889.33
0;588;4;52;52;142810.26;283.36;1265.1;2064.32;3249.97;6437.33
0;589;1;2;2;1208.32;262.01;262.01;604.16;946.31;946.31
0;589;2;1;1;2510.15;2510.15;2510.15;2510.15;2510.15;2510.15
0;589;3;2;2;5823.84;596.7;596.7;2911.92;5227.14;5227.14
0;589;4;3;3;718.24;0.16;0.16;296.04;422.04;422.04
0;591;1;1;1;2357.7;2357.7;2357.7;2357.7;2357.7;2357.7
0;591;2;2;2;1648.8;820.08;820.08;824.4;828.72;828.72
