vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;760;7197880;719.93;858.05;1048.38;1318.49;8281.03
0;770;1633399;592.51;713.06;1142.85;2239.54;7700.33
0;771;6182642;1664.82;2700.77;4997;5735.69;12789.67
0;772;1041035;1703.88;3173.47;4094.56;5470.04;17557.09
0;773;1648811;608.88;793.95;2093.67;4818.88;13387.48
0;774;501016;593.76;741.05;1543.07;3408.2;9938.46
0;775;35555055;590.91;728.39;1653.47;4599.36;14491.77
0;776;6459427;633.3;1116.47;3524.98;6659.39;17329.98
0;790;9910551;891.41;1507.26;3290.15;9557.77;32092.91
0;791;20608720;840.33;1558.18;2676.63;5493.15;17783.67
0;792;5523339;789.26;1213.81;2102.34;4908.48;25024.15
0;810;4543257;636.52;842.97;1514.73;4168.47;12796
0;811;1841944;598.07;737.04;995.67;1630.43;4592.72
0;812;33005474;601.1;716.27;1003.27;2306.56;10533.01
0;813;18893472;634.57;1170.43;2120.46;4032.71;11551.27
0;814;3591221;650.35;1090.57;3327.7;9467.75;30337.29
0;815;8077633;626.8;788.64;1195.36;4992.97;17759.03
0;830;486926;609.25;1063.08;2601.52;11733.4;59701.48
0;831;1870868;33396.97;57813.02;82418.02;103722.7;225520.22
0;832;5656006;1230.81;2964.68;11265.02;36315.52;82891.75
0;833;330056;771.43;1355.55;2134.65;10724.42;26475.42
0;840;3744950;612.02;965.05;1937.22;5277.51;21115.5
0;850;33027416;947.88;1550;2643.18;9940.2;26073.15
0;860;47306963;1782.16;4444.69;9850.7;17380.04;38276.67
0;861;35410999;688.18;1066.33;1943.66;3929.55;10928.67
0;862;90167775;609.42;883.42;1045.96;2285.34;9850.21
0;870;240108;36035.13;36035.13;43740.28;160332.95;160332.95
0;871;376532;18494.86;33492.34;43565.38;70436.65;108290.73
0;872;1008901;1840.15;8216.99;22480.9;39011.24;81690.25
0;873;566591;1196.46;2135.93;6219.94;12395.25;24766.86
0;890;1342826;1914.21;9377.08;17771.76;34064.55;97545.15
0;891;2692497;1720.12;5712.04;9789.1;16051.52;48563.84
0;892;757456;964.45;2390.54;5685.93;8168.24;25878.99
0;893;2430382;1076.85;2379.55;4321.33;7544.9;17839.63
0;894;698450;1070.62;1722.53;3111.17;4978.5;12416.79
0;910;12489425;5275.07;9203.43;16199.76;29686.01;62259.37
0;911;8878819;3377.65;7363.76;11645.07;21938.11;50993.98
0;930;6929427;1124.73;3336.13;6303.76;11372.07;27426.89
0;931;741210;1601.23;3003.56;4994.08;8325.45;24472.73
0;950;108528491;1586.23;3825.93;7401.4;16542.57;40989.46
0;951;6678001;1929.92;3768.92;9365.91;16330.39;37958.11
0;952;35599116;1017.16;2304.93;5224.61;11430.2;30639.23
0;955;493750;584.57;1175.17;1431.34;3087.91;10649.7
0;956;3498133;898.31;2477.59;4831;10293.86;27183.53
