vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;093;4;18;18;1971.8;1.4;20.1;59.5;196.7;326
0;094;1;1259;802;2351.6;0.3;0.8;1.7;3.7;9.5
0;094;2;380;254;1615.2;0.3;0.8;2.7;6.8;19.6
0;094;3;56;50;705.3;0.4;2.9;8.5;22;43.3
0;094;4;21;19;1094.6;1.5;19.6;30.3;82.6;207
0;095;1;637;405;1339.8;0.4;0.8;1.8;5.4;8
0;095;2;134;94;322.5;0.3;0.9;2.3;5.7;7.7
0;095;3;8;8;56.8;0.4;2.6;6.4;11.1;16.3
0;095;4;1;1;0.8;0.8;0.8;0.8;0.8;0.8
0;096;1;815;393;769.6;0.3;0.4;0.8;2;6.1
0;096;2;245;153;284;0.3;0.4;0.8;2;6.4
0;096;3;14;9;111.2;0.8;1.3;4;29.9;32.9
0;096;4;4;4;115.9;5.5;10.3;21.3;47.7;67.8
0;097;1;6814;1444;4113.3;0.3;0.9;1.7;4.3;8.7
0;097;2;999;401;1896;0.3;1;3.1;6.3;14.6
0;097;3;66;45;414.2;0.4;1.1;6;12.9;24
0;097;4;11;10;293.4;6;13.4;18.1;36.4;85.1
0;098;1;10901;6773;11073.6;0.3;0.5;1.1;1.8;5
0;098;2;1713;1145;3860.2;0.3;0.8;1.6;3.8;10.3
0;098;3;133;89;1035.3;0.4;1.9;7.1;14.4;38
0;098;4;23;22;709.6;3.4;5.1;13.9;40.1;148
0;110;1;433;86;294.9;0.3;0.8;1.6;5;12
0;110;2;785;274;2290.8;0.3;0.8;2.5;9.3;35
0;110;3;627;401;7257;0.4;3.3;10;20.3;60.2
0;110;4;122;101;3826.9;1;9.1;24.2;48;110.9
0;111;1;2321;53;222.1;0.3;1.4;2.9;5.7;12.6
0;111;2;1960;161;1075.4;0.5;2;4.5;8.3;20
0;111;3;340;94;883.7;1;4;8.1;12;21.4
0;111;4;17;10;102.9;0.3;2;10.5;15.9;22.5
0;112;1;530;206;749.8;0.4;1.7;3;4.6;8.6
0;112;2;367;141;671.6;0.6;2.3;3.1;5.4;10.3
0;112;3;201;93;678.1;0.5;2.9;4.9;8;23.9
0;112;4;23;18;415.2;1.1;4;10.9;18.4;193.4
0;113;1;8525;5096;24277.9;0.9;2.3;4;6.3;11.7
0;113;2;6120;3760;22644;0.9;2.7;4.6;7.4;15.1
0;113;3;926;677;7159.1;1.4;4.3;6.9;12;31.5
0;113;4;119;102;2221.4;2;7.5;14.4;30.2;73.1
0;114;1;2710;1514;5417.6;0.3;0.8;2.3;5;10.6
0;114;2;1114;675;6284.4;0.4;2;5.1;10.9;33.5
0;114;3;385;283;5956;1.1;6;14.3;28.4;68.7
0;114;4;81;78;3070.8;2.6;19;34.1;53.9;94
0;115;1;18229;676;2410.4;0.4;1.2;2.6;4.9;10
0;115;2;9545;352;2245.2;0.4;2;4.6;8.3;19
0;115;3;640;152;1739.4;0.8;4;8.1;14.2;34.6
0;115;4;102;82;1284.1;1.1;5.1;10.9;21.2;45.7
0;120;1;323;294;1066.9;0.4;0.8;1.2;3.2;14.4
0;120;2;834;791;3978.2;0.4;0.8;2.3;7.4;17
0;120;3;373;361;4928.4;0.4;2.4;9.3;17.2;37
0;120;4;247;246;8082.9;1.2;7.7;17.1;39.5;108.3
0;121;1;1114;497;1594.2;0.4;0.4;0.8;3.2;14.3
0;121;2;1964;1139;8766.3;0.4;0.8;2.9;10.8;27.3
0;121;3;901;716;13197.6;0.4;5.6;12.8;25;55.5
0;121;4;542;514;18139.8;1.6;13;25.5;45.8;105.6
0;122;1;151;45;360.7;0.3;0.9;2.9;7.1;43.1
0;122;2;220;85;776.4;0.4;0.8;5.4;12.1;34.9
0;122;3;137;90;1938.2;0.8;8.8;16.9;24.7;74.9
0;122;4;135;128;5394.8;4.2;12.7;29.7;52;138.3
