vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;005;2;R;122;3700.32;0.8;6.68;21.78;35.24;111.51
0;-p;005;2;S;14;50.16;1.08;1.84;3.06;4.76;8.56
0;-p;005;2;V;83;6322.03;2.04;18.32;67.88;105.24;187
0;-p;005;3;A;117;5368.2;1.2;17.12;32.96;59.2;153
0;-p;005;3;B;128;45568.28;21.68;101.79;187.07;431.36;1309.29
0;-p;005;3;C;104;2099.44;0.32;1.76;7.8;18.24;85.32
0;-p;005;3;D;16;151.57;1.91;2.79;7.12;10.33;50.26
0;-p;005;3;H;76;3200.83;1.08;6.58;22.18;43.56;141.92
0;-p;005;3;J;116;38278.23;7.64;57.16;112.86;335.5;1340.4
0;-p;005;3;L;11;9744.31;3.51;106.76;119.24;311.55;7325.87
0;-p;005;3;M;109;2271.25;1.72;8.56;14.44;28.04;54.44
0;-p;005;3;N;127;26404.83;19.04;86.48;153.56;262.52;589.96
0;-p;005;3;P;3;141.44;14.84;14.84;31.64;94.96;94.96
0;-p;005;3;R;111;3882.74;2.04;9.32;24.04;48.02;110.44
0;-p;005;3;S;16;53.8;1.08;2.16;2.36;3.18;16.24
0;-p;005;3;V;78;5294.12;2.04;8.12;44.92;88.36;246.2
0;-p;005;4;A;156;16517.93;7.72;31.1;58.5;110.42;530.6
0;-p;005;4;B;159;151452.02;104.2;297;519.32;1260.1;2686.12
0;-p;005;4;C;139;13190.32;0.64;5.24;19.24;68.64;474.32
0;-p;005;4;D;52;893.75;1.92;3.42;7.62;17.85;55.37
0;-p;005;4;G;8;41.96;0.08;2.5;4.7;8;11.48
0;-p;005;4;H;109;8577.11;1.08;9.56;34.64;91.88;267.76
0;-p;005;4;J;156;190309;52.44;172.73;555.92;1320.4;4169.92
0;-p;005;4;L;18;23873.62;22.4;182.28;895.96;1851.91;7321.25
0;-p;005;4;M;148;5706.32;3.28;9.86;20.1;38.74;99.52
0;-p;005;4;N;159;93324.7;60.6;218;328.8;799.05;1738.84
0;-p;005;4;P;2;89.96;5.56;5.56;44.98;84.4;84.4
0;-p;005;4;R;141;9295.56;1.11;16.56;36.04;74.8;238.84
0;-p;005;4;S;31;202.96;1.68;2.16;3.4;9.04;16.88
0;-p;005;4;V;119;18878.44;4.08;41.12;81.2;156.32;342.76
0;01;020;1;A;108;803.16;0.48;1.4;4.46;8.68;28.88
0;01;020;1;B;131;7577.84;5.36;18.96;35.32;61.36;164.82
0;01;020;1;C;52;945.08;0.44;0.86;2.96;13.26;97.2
0;01;020;1;D;1;1.92;1.92;1.92;1.92;1.92;1.92
0;01;020;1;H;27;429.13;2.16;2.51;6.88;19.16;42.36
0;01;020;1;J;113;3045.44;1.68;4.56;6.8;22.8;102.36
0;01;020;1;L;2;81.15;6.22;6.22;40.57;74.93;74.93
0;01;020;1;M;115;1013.32;2.04;4.68;6.8;10.16;20.36
0;01;020;1;N;131;11598.82;10.2;36.96;63.6;113.88;232.24
0;01;020;1;R;16;53.39;0.32;0.4;1.62;4.99;11.03
0;01;020;1;S;4;17.16;1.84;2.3;3.14;6.28;9.04
0;01;020;1;V;26;3360.72;43.96;82.28;138.6;138.6;277.16
0;01;020;2;A;153;2269.46;0.92;4.64;11.28;18.16;45.44
0;01;020;2;B;172;22690.53;14.48;35.73;56.08;100.58;653.24
0;01;020;2;C;113;3644.56;0.32;2.96;7.08;26;148.2
0;01;020;2;D;3;15.88;1.68;1.68;3.32;10.88;10.88
