vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;690;3;421;357;620133.5;3.4;75.6;523.8;1455.6;9033.9
0;690;4;245;239;1504250.2;20.4;601.9;1972.8;9253.5;25222.7
0;691;1;641;219;10125.9;0.2;2.7;5.5;29.7;214.3
0;691;2;1076;483;45131.9;0.4;4.1;20.3;76.2;446
0;691;3;905;610;221520.3;1.7;12.5;72.7;277.8;1274.2
0;691;4;253;236;416831.3;4.7;105.7;398.6;1029.3;8734.4
0;692;1;229;41;711.6;0.3;2.3;2.5;9.8;84.8
0;692;2;529;83;3310.5;0.6;3.6;5.9;30.4;166.7
0;692;3;95;42;4356.8;0.8;3.6;11;85.5;427.2
0;692;4;10;7;2598.4;2.3;2.4;533.6;584.2;888
0;693;1;2974;488;6247;0.4;2.3;2.5;4.9;22.4
0;693;2;19181;3699;329908.6;0.2;2.3;3.8;12.8;137.6
0;693;3;4276;1585;951887.4;0.6;3.8;26.1;272.4;3108
0;693;4;346;312;1132406.5;4.7;189.3;826.8;4714.4;15778.5
0;694;1;305;66;5106.3;2.3;3.6;6.9;39.3;387.8
0;694;2;960;253;25165.6;0.7;4.1;18.2;72.7;457.9
0;694;3;902;426;106902.9;1.7;10.4;47.7;190.8;718.9
0;694;4;160;122;100413.6;4.6;32;155.5;551.8;3882.9
0;710;1;137;82;3964;2;4.4;11;35.6;256.8
0;710;2;209;182;51315.3;4.3;45;123.1;323.3;940
0;710;3;391;381;293633.4;19.4;105.7;319.7;662.3;2192.5
0;710;4;472;468;605227.4;50.9;274.5;585.1;1150.6;4379.9
0;711;1;406;377;47223.3;3.6;12.4;44.1;136.6;510.4
0;711;2;635;594;145999.1;3.8;28.8;90.2;276.7;859.8
0;711;3;333;326;214144.3;12.4;73.7;325.4;670.5;1706.6
0;711;4;127;127;329271.6;63.6;345.6;837.4;2157.6;7816.6
0;720;1;420;395;34667.6;8.9;27.8;50.6;94.2;362.6
0;720;2;2213;2159;340191.3;10.9;38;80.6;191.6;545.4
0;720;3;3881;3754;962083.2;13.3;54.7;125.6;300.8;777.6
0;720;4;2782;2678;1443508.8;13.6;73.7;220.5;476.8;1655.7
0;721;1;1541;1390;173243.4;5;20.4;43.9;122;429.6
0;721;2;1550;1392;260258.4;4.9;26.6;68.5;216.3;633.3
0;721;3;796;736;322342.8;9.6;60.6;187.9;448.7;1280.2
0;721;4;255;249;192602;40.7;153.4;372.2;741.8;2773.1
0;722;1;1606;684;28546.4;2.9;11.6;25.2;45.4;131.4
0;722;2;1330;834;71435.9;2.7;14.2;33.9;82.4;330.7
0;722;3;554;427;86475.9;4.6;25.9;68.8;248.5;699.5
0;722;4;40;35;17610.5;5.1;63;189.1;407.2;3316.1
0;723;1;4108;1057;25856.2;2.3;6.1;15.4;33.9;73.4
0;723;2;3006;1063;34386.3;2.3;6.9;17.6;40.6;97.5
0;723;3;766;386;37952.1;1.1;9.1;25;69.3;446
0;723;4;54;49;35756.7;9.2;60.2;208.3;627;3547.2
0;724;1;1028;693;26266.3;2;6.9;17.6;41.3;114.5
0;724;2;987;719;70484.7;1.6;12.4;38.1;81.1;381
0;724;3;665;584;334665.3;4.3;33.6;85.5;301.5;2944.5
0;724;4;153;147;601365.5;11;170;978.4;5109.6;14761.4
0;740;1;56;37;569.2;1.9;3.6;9.4;25;58.4
0;740;2;109;71;2707.4;3.4;5.7;15.5;56.2;139.4
0;740;3;118;97;8780.3;3.1;8;17.1;93.8;430.1
0;740;4;25;24;8923;23;91.1;308.5;500.3;995
0;750;1;188;3;75.8;1.5;1.5;2.7;71.6;71.6
0;750;2;167;16;411.6;2.2;5.5;16.1;27.9;150.3
0;750;3;27;14;1907.2;3.6;5.3;35.9;98.6;1344.6
0;750;4;2;1;26.7;26.7;26.7;26.7;26.7;26.7
0;751;1;746;36;648.2;1;2.6;4.3;19.1;81
0;751;2;2038;292;7317.3;0.7;3.3;7.1;21.6;78.8
0;751;3;547;239;16348.4;1.1;4.2;16.2;56;363.6
0;751;4;73;43;9491.1;4.4;22.9;124.2;301.4;703
0;752;1;148;7;36.5;0.7;0.8;2.2;10.2;11.7
0;752;2;239;28;546;2.2;5.2;10.1;28.5;77.2
0;752;3;53;22;1805.4;3.2;11.6;35;82.2;327.2
0;752;4;2;1;122.9;122.9;122.9;122.9;122.9;122.9
0;753;1;275;2;10.3;4.1;4.1;5.1;6.2;6.2
0;753;2;363;42;757.3;1.1;2.3;4.4;10.3;82.6
0;753;3;82;35;1180.4;1.3;4.9;13;24.9;116.4
0;753;4;9;7;1914.2;24.9;83.7;161.7;503;771.6
0;754;1;1544;69;1062;0.6;2.8;6.4;11.6;52
0;754;2;1826;221;4353;0.7;2.9;5.6;14;85.8
0;754;3;451;172;8821.4;1.1;4.2;11.1;43.7;333.2
0;754;4;31;25;5841.7;4.2;11.4;54.5;391.6;840.4
0;755;1;1018;66;904.3;1.1;2.3;5.3;12.7;50.6
0;755;2;471;57;1674.2;0.9;2.9;7.5;33.9;105.1
0;755;3;79;18;600.7;0.6;4.8;11.3;17.4;384
0;755;4;7;7;1875.3;5;19.6;114.6;121.1;1465.6
0;756;1;1771;66;742.7;0.3;2.2;4.2;10.5;54.8
0;756;2;848;81;1723.4;0.6;3;8;20.4;68.7
0;756;3;240;92;7597;0.6;3.5;8.2;62.3;503.9
0;756;4;10;8;830.8;8;10.1;48.2;196;314
0;757;1;1287;220;6075.2;1.4;4.1;10.2;33.8;92.7
0;757;2;1619;457;16865.7;1.2;4.1;11.4;37.6;181.8
0;757;3;1338;708;56037.2;1.4;6;20.2;81.4;359.8
0;757;4;125;101;19831;4.2;36.3;86.9;239.1;733.2
0;758;1;297;7;25.4;1;1.6;2.9;4.6;9.3
0;758;2;289;34;1684.7;1;4.1;9.7;17;295.1
0;758;3;75;35;926.5;0.4;1.6;10.7;48;106
0;758;4;4;4;1987.5;108.8;248.6;405.3;745.1;1068.2
0;759;1;80;1;4.2;4.2;4.2;4.2;4.2;4.2
0;759;2;120;12;594.4;1.1;2;3.5;8.8;282.2
