vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;051;1;3;947;135372;88.98;111.35;129.81;158.25;235.29
0;051;2;1;408;29615;52.2;58.78;70.34;85.71;101.2
0;051;2;2;408;20640;49.76;50.76;50.76;50.76;50.76
0;051;2;3;408;79844;95.93;126.91;161.77;218.71;398.13
0;051;3;1;48;3819;53.11;64.78;78.92;87.34;109.14
0;051;3;2;48;2433;49.76;50.76;50.76;50.76;50.76
0;051;3;3;48;15537;112.71;153.79;208.4;357.51;810.31
0;051;4;1;5;496;60.04;70.68;107.48;119.61;138.07
0;051;4;2;5;254;50.76;50.76;50.76;50.76;50.76
0;051;4;3;5;3767;365.39;520.43;717.55;1012.69;1150.58
0;052;1;1;956;68189;52.73;59.91;69.79;81.1;99.72
0;052;1;2;956;48341;49.76;50.76;50.76;50.76;50.76
0;052;1;3;958;124061;83.71;90.81;103.76;136.27;249.45
0;052;2;1;773;56432;52.88;60.21;70.55;84.34;103.02
0;052;2;2;773;39132;49.76;50.76;50.76;50.76;50.76
0;052;2;3;773;168265;87.33;110.06;165.63;255.85;507.49
0;052;3;1;824;60382;54.13;62.66;71.01;82.72;100.1
0;052;3;2;824;41655;49.76;50.76;50.76;50.76;50.76
0;052;3;3;825;286672;95.67;165.37;266.73;414.11;861.65
0;052;4;1;181;12977;53.11;59.6;69.05;81.09;96.96
0;052;4;2;181;9136;49.76;50.76;50.76;50.76;50.76
0;052;4;3;181;86699;87.53;163.89;370.61;655.06;1251.97
0;053;1;0;1;0;0;0;0;0;0
0;053;1;1;7069;507857;52.66;59.84;70.15;81.11;99.72
0;053;1;2;7068;355859;49.76;50.76;50.76;50.76;50.76
0;053;1;3;7071;861892;84.12;91.93;103.25;127.93;220.46
0;053;2;0;1;0;0;0;0;0;0
0;053;2;1;5070;367880;52.73;61.08;70.34;81.73;101.2
0;053;2;2;5068;255451;49.76;50.76;50.76;50.76;50.76
0;053;2;3;5073;923408;87.58;104.29;136.43;199.22;419.08
0;053;3;0;1;0;0;0;0;0;0
0;053;3;1;2714;210331;54.83;64.74;76.94;88.87;105.59
0;053;3;2;2714;136397;49.76;50.76;50.76;50.76;50.76
0;053;3;3;2715;760871;94.39;124.23;199.59;313.8;749.14
0;053;4;1;390;28613;51.59;62.6;72.47;83.1;99.97
0;053;4;2;390;19622;49.76;50.76;50.76;50.76;50.76
0;053;4;3;391;251831;122.21;282.91;472.34;773.79;1799.81
0;054;1;1;4221;296134;52.73;59.3;68.17;77.49;95.54
0;054;1;2;4221;213074;49.76;50.76;50.76;50.76;50.76
0;054;1;3;4223;521034;83.96;91.24;107.63;135.57;219.81
0;054;2;1;1699;123769;53.1;61.35;70.07;82.97;101.37
0;054;2;2;1698;85555;49.76;50.76;50.76;50.76;50.76
0;054;2;3;1701;277845;86.35;105.15;135.75;188.59;308.31
0;054;3;1;186;14357;52.63;65.36;76.24;88.87;105.42
0;054;3;2;186;9374;49.76;50.76;50.76;50.76;50.76
0;054;3;3;186;45426;87.92;121.63;168.72;280.19;649.79
0;054;4;1;8;585;57.29;64.17;72.13;78.94;96.96
0;054;4;2;8;405;49.76;50.76;50.76;50.76;50.76
0;054;4;3;8;2259;118.67;155.84;226.45;323.69;728.77
0;055;1;0;2;0;0;0;0;0;0
0;055;1;1;782;56296;52.88;60.04;69.64;81.96;99.97
0;055;1;2;782;39454;49.76;50.76;50.76;50.76;50.76
0;055;1;3;782;137651;86.16;107.13;144.06;205.53;351.03
0;055;2;0;2;0;0;0;0;0;0
0;055;2;1;1004;72651;53.69;62.04;69.9;81.16;100.1
0;055;2;2;1004;50669;49.76;50.76;50.76;50.76;50.76
0;055;2;3;1005;286526;90.1;141.99;219.88;334.67;669.39
0;055;3;0;3;0;0;0;0;0;0
0;055;3;1;736;54106;53.1;62.99;70.99;83.1;99.97
0;055;3;2;736;37100;49.76;50.76;50.76;50.76;50.76
0;055;3;3;738;321789;88.76;152.45;312.58;551.28;1295.43
0;055;4;1;210;15988;52.88;65.16;76.79;84.34;103.02
0;055;4;2;210;10619;49.76;50.76;50.76;50.76;50.76
0;055;4;3;211;148431;90.23;249.66;503.37;905.48;1953.69
0;056;1;0;1;0;0;0;0;0;0
0;056;1;1;341;23809;52.2;58.6;67.68;79.1;94.22
0;056;1;2;341;17206;49.76;50.76;50.76;50.76;50.76
0;056;1;3;341;51191;84.12;96.71;124.23;161.48;293.12
0;056;2;1;328;22491;52.73;59.67;66.82;75.99;89.93
0;056;2;2;328;16568;49.76;50.76;50.76;50.76;50.76
0;056;2;3;328;86840;88.33;130.18;195.33;301.96;761.63
0;056;3;1;126;9253;53.32;63.35;71.96;82.85;98.44
0;056;3;2;125;6305;49.76;50.76;50.76;50.76;50.76
0;056;3;3;126;49922;99.5;193.09;294.52;447.37;1003.79
0;056;4;1;34;2480;50.67;62.05;68.68;82.72;107.23
0;056;4;2;34;1719;49.76;50.76;50.76;50.76;50.76
0;056;4;3;34;22750;154.56;324.45;608.65;817.47;1520.02
0;057;1;0;7;0;0;0;0;0;0
0;057;1;1;7016;471889;52.5;57.29;64.79;75.15;92.24
0;057;1;2;7014;353628;49.76;50.76;50.76;50.76;50.76
0;057;1;3;7018;691218;82.25;85.97;89.43;99.95;134.65
0;057;2;0;1;0;0;0;0;0;0
0;057;2;1;1551;107904;52.95;59.46;67.21;76.87;95.17
0;057;2;2;1550;78009;49.76;50.76;50.76;50.76;50.76
0;057;2;3;1551;228789;83.78;91.8;108.61;156.51;329.29
0;057;3;1;239;16820;53.06;59.75;68.26;77.74;95.5
0;057;3;2;239;11981;49.76;50.76;50.76;50.76;50.76
0;057;3;3;239;77184;89.24;121.23;264.99;437.13;820.22
0;057;4;1;24;1638;55.38;60.12;66.57;70.52;96.46
0;057;4;2;24;1213;49.76;50.76;50.76;50.76;50.76
0;057;4;3;24;12376;161.87;265.2;527.68;753.57;872.23
0;058;1;0;2;0;0;0;0;0;0
0;058;1;1;9624;704898;53.1;59.5;69.1;83.72;107.48
0;058;1;2;9623;484141;49.76;50.76;50.76;50.76;50.76
0;058;1;3;9629;1120792;80.85;86.69;92.51;105.7;232.68
0;058;2;0;1;0;0;0;0;0;0
0;058;2;1;4942;363862;54.38;60.46;70.07;84.34;107.24
0;058;2;2;4941;248909;49.76;50.76;50.76;50.76;50.76
0;058;2;3;4945;903940;84.36;91.11;107.12;189.67;506.76
0;058;3;0;1;0;0;0;0;0;0
0;058;3;1;1265;94562;53.84;62.93;73.47;85.42;103.02
0;058;3;2;1264;63505;49.76;50.76;50.76;50.76;50.76
0;058;3;3;1268;509138;95.08;164.25;284.6;473.25;1113.36
0;058;4;1;192;14620;53;64.83;73.21;87.13;103.02
0;058;4;2;191;9642;49.76;50.76;50.76;50.76;50.76
0;058;4;3;192;144593;119.01;347.84;599.57;964.96;1943.79
0;070;1;1;330;26740;53.84;69.43;84.34;91.59;107.24
0;070;1;2;330;16720;49.76;50.76;50.76;50.76;50.76
0;070;1;3;330;47683;87.42;99.58;124.39;160.98;265.77
0;070;2;1;176;14028;53.06;66.14;83.1;88.43;107.24
0;070;2;2;176;8910;49.76;50.76;50.76;50.76;50.76
0;070;2;3;176;32411;92.59;108.42;151.6;232.68;393.79
0;070;3;1;23;1915;53.11;76.24;85.71;88.87;113.36
0;070;3;2;23;1163;49.76;50.76;50.76;50.76;50.76
0;070;3;3;23;9263;117.79;153.54;295.23;493.99;1081.62
0;070;4;1;1;84;84.09;84.09;84.09;84.09;84.09
0;070;4;2;1;50;49.76;49.76;49.76;49.76;49.76
0;070;4;3;1;1896;1895.61;1895.61;1895.61;1895.61;1895.61
0;073;1;0;1;0;0;0;0;0;0
0;073;1;1;8131;632426;54.38;68.37;76.7;85.71;107.48
0;073;1;2;8129;409389;49.76;50.76;50.76;50.76;50.76
0;073;1;3;8131;866127;84.49;90.1;97.95;112.79;152.23
0;073;2;0;1;0;0;0;0;0;0
0;073;2;1;2989;247647;56.66;70.9;85.67;91.84;109.14
0;073;2;2;2989;149987;49.76;50.76;50.76;50.76;50.76
0;073;2;3;2989;356600;86.08;96;105.39;131.67;173.94
0;073;3;1;209;17075;56.33;70.68;83.1;89.93;109.14
0;073;3;2;209;10515;49.76;50.76;50.76;50.76;50.76
0;073;3;3;209;36598;88.32;97.95;117.99;147.59;525.22
0;073;4;1;12;1013;66.54;81.17;85.69;86.68;101.37
0;073;4;2;12;609;50.76;50.76;50.76;50.76;50.76
0;073;4;3;12;4706;99.58;208.08;266.22;468.15;1142.43
0;080;1;1;253;18164;50.67;59.75;69.82;82.57;95.54
0;080;1;2;253;12738;49.76;50.76;50.76;50.76;50.76
0;080;1;3;253;39330;88.33;112.97;134.71;163.79;295.87
0;080;2;1;328;23917;52.5;60.98;70.77;83.97;107.48
