vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;141;31;1;5;21;55;83
0;142;66;28;56;70;80;88
0;143;54;0;33;61;75;88
0;144;47;0;7;53;78;90
0;160;7;0;0;0;4;51
0;161;62;35;55;65;73;81
0;162;71;44;65;75;81;87
0;163;69;42;63;73;80;86
0;165;68;50;61;69;76;83
0;166;68;51;62;69;75;82
0;167;48;0;27;56;71;82
0;169;66;46;60;68;76;85
0;170;78;58;73;79;85;91
0;171;77;57;72;79;85;91
0;173;69;48;61;70;79;87
0;174;66;44;56;66;76;86
0;175;64;37;56;66;75;84
0;176;77;52;71;80;86;92
0;177;70;39;63;74;81;89
0;180;60;33;49;61;72;84
0;190;72;47;62;74;83;91
0;191;65;34;57;68;77;85
0;192;67;48;59;68;76;83
0;193;67;30;60;70;79;90
0;194;80;60;75;82;87;93
0;196;69;26;60;74;84;91
0;197;69;35;59;72;82;91
0;198;70;47;60;72;81;89
0;199;69;38;58;72;81;90
0;200;71;0;68;80;87;93
